0161	arith	undef[0]
0162	arith	undef[0] with nounset
0163	arith	s[0] with string abc
0164	arith	s[0] with string 42
0165	arith	s[0] with string '12 34'
0166	array-assign	Indexed LHS without spaces, and +=
0167	array-assign	Indexed LHS with spaces
0168	array-assign	Nested a[i[0]]=0
0169	array-assign	Multiple LHS array words
0170	array-assign	LHS array is protected with shopt -s eval_unsafe_arith, e.g. 'a[$(echo 2)]'
0171	array-assign	file named a[ is  not executed
0172	array-assign	More fragments like a[  a[5  a[5 +  a[5 + 3]
0173	array-assign	Are quotes allowed?
0174	array-assign	Tricky parsing - a[ a[0]=1 ]=X  a[ a[0]+=1 ]+=X
0175	array-assign	argv.py a[1 + 2]=
0176	array-assign	declare builtin doesn't allow spaces
0177	array-assoc	Literal syntax ([x]=y)
0178	array-assoc	set associative array to indexed array literal (very surprising bash behavior)
0179	array-assoc	Can initialize assoc array with the "(key value ...)" sequence
0180	array-assoc	create empty assoc array, put, then get
0181	array-assoc	Empty value (doesn't use EmptyWord?)
0182	array-assoc	retrieve keys with !
0183	array-assoc	retrieve values with ${A[@]}
0184	array-assoc	coerce to string with ${A[*]}, etc.
0185	array-assoc	${A[@]/b/B}
0186	array-assoc	${A[@]#prefix}
0187	array-assoc	${assoc} is like ${assoc[0]}
0188	array-assoc	length ${#a[@]}
0189	array-assoc	lookup with ${a[0]} -- "0" is a string
0190	array-assoc	lookup with double quoted strings "mykey"
0191	array-assoc	lookup with single quoted string
0192	array-assoc	lookup with unquoted $key and quoted "$i$i"
0193	array-assoc	lookup by unquoted string doesn't work in OSH because it's a variable
0194	array-assoc	bash bug: "i+1" and i+1 are the same key
0195	array-assoc	Array stored in associative array gets converted to string (without strict_array)
0196	array-assoc	Indexed array as key of associative array coerces to string (without shopt -s strict_array)
0197	array-assoc	Append to associative array value A['x']+='suffix'
0198	array-assoc	Slice of associative array doesn't make sense in bash
0199	array-assoc	bash variable can have an associative array part and a string part
0200	array-assoc	Associative array expressions inside (( )) with keys that look like numbers
0201	array-assoc	(( A[5] += 42 ))
0202	array-assoc	(( A[5] += 42 )) with empty cell
0203	array-assoc	setting key to itself (from bash-bug mailing list)
0204	array-assoc	readonly associative array can't be modified
0205	array-assoc	associative array and brace expansion
0206	array-assoc	declare -A A=() allowed
0207	array-assoc	unset -v and assoc array
0208	array-assoc	nameref and assoc array
0209	array-assoc	${!ref} and assoc array
0210	array-assoc	printf -v and assoc array
0211	array-assoc	bash bug: (( A["$key"] = 1 )) doesn't work
0212	array-assoc	Implicit increment of keys
0213	array-assoc	test -v assoc[key]
0214	array-assoc	test -v with dynamic parsing
0215	array-assoc	[[ -v assoc[key] ]]
0216	array-assoc	[[ -v assoc[key] ]] syntax errors
0217	array-assoc	BashAssoc a+=()
0218	array-assoc	BashAssoc ${a[@]@Q}
0219	array-basic	"${a[@]}" and "${a[*]}"
0220	array-basic	${a[@]} and ${a[*]}
0221	array-basic	4 ways to interpolate empty array
0222	array-basic	empty array
0223	array-basic	Empty array with :-
0224	array-compat	Assignment Causes Array Decay
0225	array-compat	Array Decay with IFS
0226	array-compat	User arrays decay
0227	array-compat	strict_array: $array is not valid in OSH, is ${array[0]} in ksh/bash
0228	array-compat	strict_array: ${array} is not valid in OSH, is ${array[0]} in ksh/bash
0229	array-compat	Assign to array index without initialization
0230	array-compat	a[40] grows array
0231	array-compat	array decays to string when comparing with [[ a = b ]]
0232	array-compat	++ on a whole array increments the first element (disallowed with strict_array)
0233	array-compat	Apply vectorized operations on ${a[*]}
0234	array-compat	value.BashArray internal representation - Indexed
0235	array-compat	value.BashArray internal representation - Assoc (ordering is a problem)
0236	array-literal	Tilde expansions in RHS of [k]=v (BashArray)
0237	array-literal	Tilde expansions in RHS of [k]=v (BashAssoc)
0238	array-literal	index increments without [k]= (BashArray)
